index,name,rating,category,price,address,city,zipcode,country,full_address,image_url,phone
1,1000 Degrees Pizza,3.5,Pizza,,2941 Main St,Glastonbury,06033,US,"1000 Degrees Pizza, 2941 Main St, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/WJo0np_R4UgQa-PLb7GiYA/o.jpg,(860) 500-1000
2,451 Restaurant & Lounge,3.5,Latin American,$$,341 Franklin Ave,Hartford,06114,US,"451 Restaurant & Lounge, 341 Franklin Ave, Hartford, CT 06114, ",https://s3-media3.fl.yelpcdn.com/bphoto/hUCIrBcAH61s-irRDzpTGw/o.jpg,(860) 206-1556
3,5 And Dime Canteen,4.5,Breakfast & Brunch,$,1100 Main St,Newington,06111,US,"5 And Dime Canteen, 1100 Main St, Newington, CT 06111, ",https://s3-media3.fl.yelpcdn.com/bphoto/cd1vI6R88dEWSL1EO0UYNw/o.jpg,(860) 665-7848
4,50 Elm,4,Cocktail Bars,$$,50 Elm St,Hartford,06106,US,"50 Elm, 50 Elm St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/jLEA1ovuwaMTFjbWc4JrKA/o.jpg,(860) 206-3322
5,99 Restaurants,3,Pubs,$$,3025 Main St,Glastonbury,06033,US,"99 Restaurants, 3025 Main St, Glastonbury, CT 06033, ",https://s3-media1.fl.yelpcdn.com/bphoto/0O7tsBWEUudSMEJd0WUHgQ/o.jpg,(860) 652-9699
6,A-1 Pizza,3,Pizza,$$,274 Farmington Ave,Hartford,06105,US,"A-1 Pizza, 274 Farmington Ave, Hartford, CT 06105, ",https://s3-media3.fl.yelpcdn.com/bphoto/hBxlOg3DDj9_Xze8-RV2gw/o.jpg,(860) 525-6666
7,ABC Pizza House,2.5,Pizza,$,287 New Britain Ave,Hartford,06106,US,"ABC Pizza House, 287 New Britain Ave, Hartford, CT 06106, ",https://s3-media3.fl.yelpcdn.com/bphoto/62Dc9SQlYMKmY6rsJBoLvQ/o.jpg,(860) 247-0234
8,AC Petersen Farms,3,American (Traditional),$$,240 Park Rd,West Hartford,06119,US,"AC Petersen Farms, 240 Park Rd, West Hartford, CT 06119, ",https://s3-media3.fl.yelpcdn.com/bphoto/FiEbhIqFNrIVvgxLemskOw/o.jpg,(860) 233-8483
9,Agave Grill,3.5,Mexican,$$,100 Allyn St,Hartford,06103,US,"Agave Grill, 100 Allyn St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/aD1sgjb9f8f6ImyT49gQ6g/o.jpg,(860) 882-1557
10,Ajamo,4.5,Salad,$,30 State House Sq,Hartford,06103,US,"Ajamo, 30 State House Sq, Hartford, CT 06103, ",https://s3-media3.fl.yelpcdn.com/bphoto/4_IRevI2Q34KxSlZ-z9ThA/o.jpg,(860) 947-0799
11,Aladdin Halal,3.5,Halal,$,100 Allyn St,Hartford,06103,US,"Aladdin Halal, 100 Allyn St, Hartford, CT 06103, ",https://s3-media1.fl.yelpcdn.com/bphoto/ii4z7k4pA8YsXps5XN1QwQ/o.jpg,(860) 278-0202
12,Allegro Cafe,4.5,Diners,$,347 Franklin Ave,Hartford,06114,US,"Allegro Cafe, 347 Franklin Ave, Hartford, CT 06114, ",https://s3-media1.fl.yelpcdn.com/bphoto/ZlqSjJixlEH9cAdGbm8xhg/o.jpg,(860) 296-8139
13,Alpha Original Pizza,3.5,Pizza,,620 Silas Deane Hwy,Wethersfield,06109,US,"Alpha Original Pizza, 620 Silas Deane Hwy, Wethersfield, CT 06109, ",https://s3-media2.fl.yelpcdn.com/bphoto/ADaZAii0B3yOxRXVPiK7Tg/o.jpg,(860) 372-4807
14,Andrea's Restaurante,3.5,Latin American,$$,371 Franklin Ave,Hartford,06114,US,"Andrea's Restaurante, 371 Franklin Ave, Hartford, CT 06114, ",https://s3-media4.fl.yelpcdn.com/bphoto/tzZOoFL5bhnikzP-xixDzg/o.jpg,(860) 296-2100
15,Angelina's Pizza,4.5,Pizza,$,41 Prospect Ave,West Hartford,06106,US,"Angelina's Pizza, 41 Prospect Ave, West Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/hHlRBNOloOR5m-_KmEPkXQ/o.jpg,(860) 232-4080
16,Angry Tofu Korean Cuisine,4.5,Korean,$$,1030 Silas Deane Hwy,Wethersfield,06109,US,"Angry Tofu Korean Cuisine, 1030 Silas Deane Hwy, Wethersfield, CT 06109, ",https://s3-media3.fl.yelpcdn.com/bphoto/R-T2sPDusL93F2nG2RHC-Q/o.jpg,(860) 513-1004
17,Antojitos Colombianos,4.5,Colombian,$$$,704 Park St,Hartford,06106,US,"Antojitos Colombianos, 704 Park St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/qtrJF5qxqLM-ybg-UTuhcg/o.jpg,(860) 247-6449
18,Aqui Me Quedo Restaurant,3,Restaurants,$,622 Park St,Hartford,06106,US,"Aqui Me Quedo Restaurant, 622 Park St, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/T4QPlYJBkKeR7bREtlMHCg/o.jpg,(860) 522-1717
19,Aqui Me Quedo Restaurant,4,Puerto Rican,$,150 Albany Ave,Hartford,06120,US,"Aqui Me Quedo Restaurant, 150 Albany Ave, Hartford, CT 06120, ",https://s3-media4.fl.yelpcdn.com/bphoto/L7Ng3WxvdFzig8ZHi2Yg9w/o.jpg,(860) 278-2033
20,Arch Street Tavern,3,American (Traditional),$$,85 Arch St,Hartford,06103,US,"Arch Street Tavern, 85 Arch St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/6QdZt4_gIi_2wohLcrTbqg/o.jpg,(860) 246-7610
21,Arena Patio Restaurant,3.5,Italian,$$,873 Wethersfield Ave,Hartford,06114,US,"Arena Patio Restaurant, 873 Wethersfield Ave, Hartford, CT 06114, ",https://s3-media2.fl.yelpcdn.com/bphoto/mixWfwrUbKN5NltU_3Kz3A/o.jpg,(860) 296-2483
22,Aroma Bistro,4.5,Burgers,$,227 Main St,Wethersfield,06109,US,"Aroma Bistro, 227 Main St, Wethersfield, CT 06109, ",https://s3-media2.fl.yelpcdn.com/bphoto/7tZRPUHEc4a_lCzhgsTHKw/o.jpg,(860) 436-5772
23,Artichoke Basille’s Pizza,4,Pizza,$$,114 Asylum St,Hartford,06103,US,"Artichoke Basille’s Pizza, 114 Asylum St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/Xzgd8xI09UhPPreE7aleNg/o.jpg,(860) 969-6128
24,Artisan Restaurant,3.5,Breakfast & Brunch,$$$,1 Memorial Rd,West Hartford,06107,US,"Artisan Restaurant, 1 Memorial Rd, West Hartford, CT 06107, ",https://s3-media3.fl.yelpcdn.com/bphoto/yIZOPOXmVX6Ox2aR-iD2Bw/o.jpg,(860) 937-2525
25,Arugula,4,Mediterranean,$$,953 Farmington Ave,West Hartford,06107,US,"Arugula, 953 Farmington Ave, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/8IvsXDwgMLnxQJPggPGodA/o.jpg,(860) 561-4888
26,Ashley's Restaurant,3.5,American (Traditional),$,221 Main St,Hartford,06106,US,"Ashley's Restaurant, 221 Main St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/ppY1fOeB--nUrVznbdI6qA/o.jpg,(860) 247-8730
27,Asia 2000 Chinese Restaurant,2.5,Chinese,$$,520 Windsor Ave,Windsor,06095,US,"Asia 2000 Chinese Restaurant, 520 Windsor Ave, Windsor, CT 06095, ",https://s3-media1.fl.yelpcdn.com/bphoto/-Vc-ZqAvou786W7qnMZbdw/o.jpg,(860) 688-9911
28,Atrium Café and Bar,4,American (New),$$,100 Great Meadow Rd,Wethersfield,06109,US,"Atrium Café and Bar, 100 Great Meadow Rd, Wethersfield, CT 06109, ",https://s3-media3.fl.yelpcdn.com/bphoto/j3LBBGgJl_s4LjDmzQYL4A/o.jpg,(860) 757-3344
29,Au Bon Pain,3,Sandwiches,$$,80 Seymour St,Hartford,06106,US,"Au Bon Pain, 80 Seymour St, Hartford Hospital, Hartford, CT 06106",https://s3-media4.fl.yelpcdn.com/bphoto/P8Eh5MaZprMNSo5H4Z47Sw/o.jpg,(860) 241-8260
30,Au Bon Pain,3,Fast Food,$$,114 Woodland St,Hartford,06105,US,"Au Bon Pain, 114 Woodland St, Hartford, CT 06105, ",https://s3-media2.fl.yelpcdn.com/bphoto/S9VKMA8HaUaopbNFaOy04A/o.jpg,(860) 241-8980
31,Augie & Ray's Drive In,4,Burgers,$,314 Main St,East Hartford,06118,US,"Augie & Ray's Drive In, 314 Main St, East Hartford, CT 06118, ",https://s3-media1.fl.yelpcdn.com/bphoto/Aio2YMFxPG-mry8cCjv8oA/o.jpg,(860) 568-3770
32,a'VERT Brasserie,4,Brasseries,$$,35 A Lasalle Rd,West Hartford,06107,US,"a'VERT Brasserie, 35 A Lasalle Rd, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/_Tm-8p2BJktASF0nnPDokQ/o.jpg,(860) 904-6240
33,B.GOOD,3.5,Salad,$$,140 Glastonbury Blvd,Glastonbury,06033,US,"B.GOOD, 140 Glastonbury Blvd, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/V1XgRLiy79K4qMiFCVR8Sw/o.jpg,(860) 633-1630
34,Baltyk European Deli,5,Delis,,731 Wethersfield Ave,Hartford,06114,US,"Baltyk European Deli, 731 Wethersfield Ave, Hartford, CT 06114, ",https://s3-media4.fl.yelpcdn.com/bphoto/3ktqVZmF8UielAyyLFrCHQ/o.jpg,
35,Banana Brazil,4.5,Brazilian,$$,341 New Park Ave,Hartford,06106,US,"Banana Brazil, 341 New Park Ave, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/fhKkBCcg4Z5p4pwV9nCoiA/o.jpg,(860) 206-9188
36,Bangkok Spice,4.5,Thai,,77 Pratt St,Hartford,06103,US,"Bangkok Spice, 77 Pratt St, Hartford, CT 06103, ",https://s3-media3.fl.yelpcdn.com/bphoto/oK0iF6g7rC8QO38eMSYuSg/o.jpg,(860) 263-8035
37,Banh Meee,4.5,Vietnamese,$,399 Capitol Ave,Hartford,06106,US,"Banh Meee, 399 Capitol Ave, Hartford, CT 06106, ",https://s3-media4.fl.yelpcdn.com/bphoto/07OzB4mXRS3Q41-ei_5ZJQ/o.jpg,(860) 880-2264
38,Barb's Pizza,4.5,Pizza,,968 Farmington Ave,West Hartford,06107,US,"Barb's Pizza, 968 Farmington Ave, West Hartford, CT 06107, ",https://s3-media4.fl.yelpcdn.com/bphoto/jvqpfgiKA4kRK13WieRewQ/o.jpg,(860) 206-3381
39,Barcelona - West Hartford,4.5,Wine Bars,$$$,971 Farmington Ave,West Hartford,06107,US,"Barcelona - West Hartford, 971 Farmington Ave, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/vguvoFtqgx3qsBZ4qoUCmQ/o.jpg,(860) 218-2100
40,bartaco - West Hartford,4,Mexican,$$,971 Farmington Ave,West Hartford,06107,US,"bartaco - West Hartford, 971 Farmington Ave, West Hartford, CT 06107, ",https://s3-media2.fl.yelpcdn.com/bphoto/UMxpIG2IW61bShBmDABihA/o.jpg,(860) 586-8226
41,Beachland Tavern,4,American (New),$$,1128 New Britain Ave,West Hartford,06110,US,"Beachland Tavern, 1128 New Britain Ave, West Hartford, CT 06110, ",https://s3-media2.fl.yelpcdn.com/bphoto/e5LF7lqtMYYg9n-luXgv-A/o.jpg,(860) 263-7167
42,Bear's Smokehouse Barbecue,4,Barbeque,$$,25 Front St,Hartford,06103,US,"Bear's Smokehouse Barbecue, 25 Front St, Hartford, CT 06103, ",https://s3-media4.fl.yelpcdn.com/bphoto/mWGJirG01KUybHmYtO1uiA/o.jpg,(860) 785-8772
43,Bella Gourmet Pizzeria,3.5,Pizza,$,125 Fenn Rd,Newington,06111,US,"Bella Gourmet Pizzeria, 125 Fenn Rd, Newington, CT 06111, ",https://s3-media3.fl.yelpcdn.com/bphoto/SjZpy8pStO7m3Z__fuSDHg/o.jpg,(860) 667-0330
44,Bellie's Grille & Catering,5,Seafood,,77 Barbour St,Hartford,06120,US,"Bellie's Grille & Catering, 77 Barbour St, Hartford, CT 06120, ",,(860) 904-6522
45,Benjie's Jamaican Restaurant,3.5,Caribbean,,1488 Albany Ave,Hartford,06112,US,"Benjie's Jamaican Restaurant, 1488 Albany Ave, Hartford, CT 06112, ",https://s3-media1.fl.yelpcdn.com/bphoto/u_CuSI4kZVV_P0Vil-LSbg/o.jpg,(860) 244-9974
46,Bert’s Pizzaria,4.5,Pizza,,264 Park Rd,West Hartford,06119,US,"Bert’s Pizzaria, 264 Park Rd, West Hartford, CT 06119, ",https://s3-media4.fl.yelpcdn.com/bphoto/Vzsm_qWONw-pSdPK3mY_-g/o.jpg,(860) 236-8438
47,Bertucci's Italian Restaurant,2.5,Italian,$$,2882 Main St,Glastonbury,06033,US,"Bertucci's Italian Restaurant, 2882 Main St, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/KxY07VxKUFugReqElnd5Gg/o.jpg,(860) 633-2225
48,Between Rounds Bakery Sandwich Cafe,3.5,Bagels,$,19 John Fitch Blvd,South Windsor,06074,US,"Between Rounds Bakery Sandwich Cafe, 19 John Fitch Blvd, South Windsor, CT 06074, ",https://s3-media3.fl.yelpcdn.com/bphoto/_F_SVoHlS-GTEZnX8ZCQNw/o.jpg,(860) 291-8780
49,Bijou Restaurant,4.5,Portuguese,$$,9 Heath St,Hartford,06106,US,"Bijou Restaurant, 9 Heath St, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/gm-1VK3aZrCl-z6pgdGhWw/o.jpg,(860) 233-6010
50,Bin228 Panini & Wine Bar,4,Italian,$$,228 Pearl St,Hartford,06103,US,"Bin228 Panini & Wine Bar, 228 Pearl St, Hartford, CT 06103, ",https://s3-media4.fl.yelpcdn.com/bphoto/5ndqLkCI8GIiV2jXwQim6A/o.jpg,(860) 244-9463
51,Black Bamboo Chinese Restaurant,4,Chinese,$$,844 Farmington Ave,West Hartford,06119,US,"Black Bamboo Chinese Restaurant, 844 Farmington Ave, West Hartford, CT 06119, ",https://s3-media3.fl.yelpcdn.com/bphoto/7dnT7Y6HrGblrJqiTQFuSg/o.jpg,(860) 236-8888
52,Black-Eyed Sally's,4,Barbeque,$$,350 Asylum St,Hartford,06103,US,"Black-Eyed Sally's, 350 Asylum St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/LXkUo7yH-Bg9nCQylM30qQ/o.jpg,(860) 278-7427
53,Blue Plate Kitchen,3.5,Diners,$$,345 N Main St,West Hartford,06117,US,"Blue Plate Kitchen, 345 N Main St, West Hartford, CT 06117, ",https://s3-media4.fl.yelpcdn.com/bphoto/isUWKj-yq8XvZanW6f5Kmg/o.jpg,(860) 906-1419
54,Blue State Coffee,4,Coffee & Tea,$$,777 Main St,Hartford,06103,US,"Blue State Coffee, 777 Main St, Hartford, CT 06103, ",https://s3-media1.fl.yelpcdn.com/bphoto/8CFNASUaJg_Mjfmkj-AV4w/o.jpg,(860) 216-1255
55,Bombay Olive,3.5,Indian,$$,450 S Main St,West Hartford,06110,US,"Bombay Olive, 450 S Main St, West Hartford, CT 06110, ",https://s3-media3.fl.yelpcdn.com/bphoto/GlgJDeKntGt8UXhi9BzkAg/o.jpg,(860) 561-3000
56,Boston Market,3.5,Comfort Food,$,417 Cottage Grove Rd,Bloomfield,06002,US,"Boston Market, 417 Cottage Grove Rd, Bloomfield, CT 06002, ",https://s3-media4.fl.yelpcdn.com/bphoto/6AcdmlWjp8bMFQdK5IaKAw/o.jpg,(860) 243-3400
57,Boston Market,3,Comfort Food,$,2834 Main St,Glastonbury,06033,US,"Boston Market, 2834 Main St, Glastonbury, CT 06033, ",https://s3-media4.fl.yelpcdn.com/bphoto/zngwpZwC_xXQ9qQlaphMjg/o.jpg,(860) 659-2850
59,Brazil Grill,4,Brazilian,$$,1996 Park St,Hartford,06106,US,"Brazil Grill, 1996 Park St, Hartford, CT 06106, ",https://s3-media3.fl.yelpcdn.com/bphoto/k_CN0LNnE7MhjL7RP_MvVg/o.jpg,(860) 523-5477
60,Broasterant,4.5,Comfort Food,$,630 Park St,Hartford,06106,US,"Broasterant, 630 Park St, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/z2xsOp4WZpGZQQwCIqFh5g/o.jpg,(860) 525-1155
61,Brooklyn Ramen,4,Ramen,$$,37 Raymond Rd,West Hartford,06107,US,"Brooklyn Ramen, 37 Raymond Rd, Maruichi Japanese Food & Deli, West Hartford, CT 06107",https://s3-media4.fl.yelpcdn.com/bphoto/BFZvhq6Ms51HwMiss2TzSg/o.jpg,(860) 904-2754
62,Bruegger's Bagels,3,Bagels,$,1 S Main St,W Hartford,06107,US,"Bruegger's Bagels, 1 S Main St, W Hartford, CT 06107, ",https://s3-media3.fl.yelpcdn.com/bphoto/XdlGTcPM8plIqJzDO0YvPg/o.jpg,(860) 236-9565
63,Bruegger's Bagels,3,Bagels,$,2801 Main St,Glastonbury,06033,US,"Bruegger's Bagels, 2801 Main St, Glastonbury, CT 06033, ",https://s3-media4.fl.yelpcdn.com/bphoto/TuTHarxZ7fD9s9ebj0svcA/o.jpg,(860) 659-4540
64,Buon Appetito Food Truck,3,Italian,$,500 Statehouse Square,Hartford,06183,US,"Buon Appetito Food Truck, 500 Statehouse Square, Hartford, CT 06183, ",https://s3-media1.fl.yelpcdn.com/bphoto/cAeEbBqq4XDc9WC5RCUzWw/o.jpg,
65,Burger and Pizza Land,1,Pizza,,295 Barbour St,Hartford,06120,US,"Burger and Pizza Land, 295 Barbour St, Hartford, CT 06120, ",https://s3-media1.fl.yelpcdn.com/bphoto/XujOasoVspXXAXzXRg4EWw/o.jpg,(860) 246-1181
66,Burger King,1,Burgers,$,914 New Britain Ave,Hartford,06106,US,"Burger King, 914 New Britain Ave, Hartford, CT 06106, ",https://s3-media4.fl.yelpcdn.com/bphoto/6EoKslQlOAAwpVnt_9FoDg/o.jpg,(860) 953-8450
67,Burger King,2.5,Fast Food,$,872 Silas Deane Hwy,Wethersfield,06109,US,"Burger King, 872 Silas Deane Hwy, Wethersfield, CT 06109, ",https://s3-media4.fl.yelpcdn.com/bphoto/YJ7muf1Gz3FRSWAYFzDJQQ/o.jpg,(860) 721-1366
